movieskey,moviename,comment,award1,award2,award3,counted,voteforme,deathtype,deathcount,deathcomment,disputes
78,The Scorned,"<br />(Basically soft-core porn)		",,,,,,,42,"4, plus 1 death by a kamikaze goldfish, 2 deaths by lava lamp, one phone and all of the careers of the ""actors"" involved in making this movie.",0
79,In Her Shoes,,,,,,,,1,1 old man,0
80,Final Destination 2,"<br />(rated R for strong violent gruesome accidents)		",,,,,,,26,26,0
81,Children of Men,,,,,,,,15043,"39, a dog, 3 crispy cows and a refugee camp",0
82,"Tombstone	","		",,,,,,,31,31,0
83,The Skeleton Key,,,,,,,,3,3,0
84,Final Destination 3,"		",,,,,,,14,11 plus 2 fried bitches and a pigeon,0
85,The Lost Boys,,,,,,,,14,9 humans and 5 vampires,0
86,Snatch,"		",,,,,,,21,21,0
87,The Running Man,"		",,,,,,,96,"18 before the opening titles ended, 60 innocent men, women & children, 4 stalkers and then 14 more people",0
88,The Departed,"		",,,,,,,20,19 and a fly,0
89,Millennium,"		",,,,,,,14,13 and 1 personal robot,0
90,Tremors,"		",,,,,,,34,"9 people, 20 sheep, 1 horse, 4 graboids",0
91,Tremors 2: Aftershocks,"		",,,,,,,75,"3, plus 1 coyote and 71 graboids	",0
92,Stay Alive,"		",,,,,,,10,9 and a vampire,0
93,The French Connection,"		",,,,,,,13,13,0
94,Zodiac,"		",,,,,,,3,3,0
95,Evil Breed: The Legend of Samhain,"		",,,,,,,12,11 and 1 inbreed,0
1495,Sudden Death,,,,,,,,36,36,0
96,Dark Town,"		",,,,,,,25,"14 people, 9 vampires, 1 baby and 1 cat",0
97,Night of the Comet,"		",,,,,,,4769000095,The entire population of Earth in 1984 minus 6 people plus 2 cars,0
98,"Puff, Puff, Pass","		",,,,,,,1,1,0
99,"Let's Go to Prison	","		",,,,,,,1,1,0
100,Snakes on a Plane,"<br />(#100!)		",,,,,,,118,"62 people, 54 snakes, 1 cat and 1 dog. Also, Samuel L. Jackson said motherfucker/ing five times.",0
101,Total Recall,"		",,,,,,,68,"49, plus 16 fish, 1 rat, 1 Jonny Cab and 1 three-breasted mutant hooker",0
102,The Prestige,"		",,,,,,,108,105 and 3 birds,0
103,Dead Silence,"		",,,,,,,7,6 and 1 unborn child,0
104,Cannibal! The Musical,"		",,,,,,,8,"6 people, 1 snowman and 1 horse",0
105,Sleepers,"		",,,,,,,8,8,0
106,Beerfest,<br />(Next time bring lettuce.),,,,,,,17,"4, a trophy, a deer, and a batch of monkey-frogs		",0
107,The Island,"		",,,,,,,64,"22, plus 2 police officers and 40 ""defective"" (read: free-thinking) clones",0
108,Devour,,,,,,,,12,"1 cougar, 10 people and 1 deer	",0
109,Deep Evil,"<br />(These people should hang their heads in shame.)		",,,,,,,19,7 and 12 aliens,0
110,Rory O'Shea Was Here,"		",,,,,,,1,1,0
111,Dark Water,"		",,,,,,,1,1,0
112,Turistas,"		",,,,,,,10,10,0
113,Black Christmas,"		",,,,,,,7,7,0
114,"Face of Terror	",<br />(with Ricky Schroder),,,,,,,33,33,0
115,The Hills Have Eyes (2006),"		",,,,,,,19,"15, 1 fish, 1 lizard, 1 dog and 1 bird",0
116,Petrified,"<br />(Danny Draven is fired for bad editing.)		",,,,,,,9,"6 people and 1 alien mummy destroyed by salt like a slug. Also, one woman's hair and one FBI partner mysteriously disappeared between one scene and the next.",0
117,Komodo vs. Cobra,,,,,,,,19,"15, plus 1 yacht, 2 giant komodos and 1 giant cobra",0
118,Kid with the Golden Arms,"		",,,,,,,70,70,0
119,"Adrenalin: Fear the Rush	","		",,,,,,,17,17,0
120,Python,"		",,,,,,,15,14 and 1 giant genetically-enhanced python,0
121,The Nest,"		",,,,,,,48,"7 people, 1 dog, 1 rat, 1 cat-roach, 1 roach-man, 1 Roach Master Deluxe and at least 36 roaches",0
122,"The Life Aquatic with Steve Zissou	 ",,,,,,,,13,"11, 1 research turtle and 1 rhinestone bluefin",0
123,Night Train to Terror,"		",,,,,,,27,16 and 11 musicians,0
124,Platoon,,,,,,,,570,569 and a pig,0
125,Napoleon Dynamite,"		",,,,,,,1,1 cow,0
126,Party Monster,"		",,,,,,,3,3,0
127,Alpha Dog,"		",,,,,,,1,1,0
128,"The Hitcher 	 ","		",,,,,,,23,"21 people, 1 rabbit and 1 dragonfly",0
129,"Terminator 1	","		",,,,,,,39,"37, 1 machine and 1 terminator",0
130,Terminator 2: Judgment Day,"		",,,,,,,13,"10, 1 flying machine and 2 terminators",0
131,Pirates of the Caribbean: The Curse of the Black Pearl,"		",,,,,,,17,"17	",0
132,Pirates of the Caribbean: Dead Man's Chest,"		",,,,,,,57,56 and a hermit crab,0
133,"Pirates of the Caribbean: At World's End	","		",,,,,,,88,88,0
134,Domino,"		",,,,,,,24,22 and 2 goldfish,0
135,Apocalypto,"		",,,,,,,66,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake",0
136,"Farce of the Penguins	","		",,,,,,,3,3 penguins died and Samuel L. Jackson said motherfucker one time.,0
137,Monster,"		",,,,,,,4,4,0
138,Smokin' Aces,"		",,,,,,,35,35,0
139,Tremors 3: Back to Perfection,"		",,,,,,,45,"5 people, 30 shreikers, 2 cows, 1 graboid and 7 assblasters",0
140,V for Vendetta,"		",,,,,,,64,64,0
141,Midnight Cowboy,"		",,,,,,,1,1,0
142,Swordfish,"		",,,,,,,37,36 and a yacht,0
143,"Blood and Chocolate	","		",,,,,,,12,12,0
144,"Heat	","		",,,,,,,18,18,0
145,The Dead Girl,"		",,,,,,,1,1,0
146,The Messengers,"		",,,,,,,6,4 and 2 crows,0
147,The Thirst,"		",,,,,,,191,"39, a club full of people and 2 cats	",0
148,Jarhead,"		",,,,,,,753,"752 and a scorpion	",0
149,Mr. Brooks,"		",,,,,,,8,8,0
150,Tremors 4: The Legend Begins,"		",,,,,,,33,29 and 4 dirt-dragons,0
151,Starsky & Hutch,"		",,,,,,,3,"1, an iguana tail and a pony",0
152,Reno 911!: Miami: The Movie,"		",,,,,,,7,"5 people, 1 whale, and an ice cream truck",0
153,Terminator 3: Rise of the Machines,"		",,,,,,,3000000022,"3,000,000,017, one TX, two T-1's, one T-101, and one flying thing",0
154,"History of Violence, A History of Violence","		",,,,,,,13,13,0
155,Ghost Rider,"		",,,,,,,26,"21, 4 demons and an iguana	",0
156,Art School Confidential,"		",,,,,,,153,3 and an apartment building,0
157,Biker Boyz,"		",,,,,,,2,2,0
158,Striptease,"		",,,,,,,2,2,0
159,Live Free or Die Hard,"		",,,,,,,41,41,0
160,We Were Soldiers,"		",,,,,,,1753,"1,753",0
161,Saw,"		",,,,,,,7,6 and a foot,0
162,Saw II,"		",,,,,,,9,9,0
163,"Network	","		",,,,,,,2,2,0
164,Flesh+Blood,"		",,,,,,,40,"38, plus a dog and a stillborn baby",0
165,Derailed,"		",,,,,,,5,5,0
166,Saving Silverman,,,,,,,,1,1,0
167,Big Nothing,"		",,,,,,,5,5,0
168,Saw III,"		",,,,,,,9,9,0
169,Premonition,"		",,,,,,,3,2 people and 1 crow,0
170,The Hitchhiker's Guide to the Galaxy,"		",,,,,,,6486329384,"Planet Earth, minus 2 people, minus 2 aliens, and minus all of the dolphins. Plus 2 crabs, 1 sperm whale, 1 bowl of petunias and an entire battle fleet of strange and warlike beings resplendent in black jeweled battle shorts. Plus two mice.",0
171,The Number 23,"		",,,,,,,3,3,0
172,My Super Ex-Girlfriend,"		",,,,,,,1,1 shark,0
173,The Contract (2006),"<br />""It's on!""	",,,,,,,14,14,0
174,Shaun of the Dead,"		",,,,,,,35,34 and a pigeon,0
175,Evil Dead (1981),"		",,,,,,,4,4,0
176,Evil Dead 2: Dead by Dawn,,,,,,,,7,6 and a flying demon,0
177,A Nightmare on Elm Street ,"		",,,,,,,4,4,0
178,"Venom	","		",,,,,,,11,11,0
179,"Pathfinder	","		",,,,,,,243,"240, 2 horses and 1 bear	",0
180,Hot Fuzz,"		",,,,,,,17,17,0
181,Bats,"		",,,,,,,10264,"28 people and 10,236 bats",0
182,"Things to Do in Denver When You're Dead	","		",,,,,,,15,15,0
183,"Mystery Men	","		",,,,,,,106,6 and a blown-up asylum,0
184,The Notebook,"		",,,,,,,6,6,0
185,"Slow Burn	","		",,,,,,,8,7 and a fly,0
186,Two Brothers,"		",,,,,,,2,2 tigers,0
187,I Think I Love My Wife,"		",,,,,,,2,2 policemen,0
188,"Hostel	","		",,,,,,,12,12,0
189,187,"		",,,,,,,6,"4 people, 1 rat and 1 dog. Samuel L. Jackson did not say motherfucker even once. Very disappointing.",0
190,The League of Extraordinary Gentlemen,"		",,,,,,,82,82,0
191,A Nightmare on Elm Street 2: Freddy's Revenge,"		",,,,,,,11,"4, plus 2 birds, 1 rat and 4 fish",0
192,Wet Hot American Summer,"		",,,,,,,2,2,0
193,Disturbia,"		",,,,,,,6,"4, 1 deer and 1 rabbit",0
194,Menace II Society,"		",,,,,,,8,8,0
195,Practical Magic,"		",,,,,,,4,4,0
196,"Panic Room	","		",,,,,,,2,2,0
197,A Nightmare on Elm Street 3: Dream Warriors,"		",,,,,,,6,6,0
198,Rules of Engagement,"		",,,,,,,97,97 and 5 motherfuckers from Samuel L. Jackson,0
199,"Rollercoaster	","		",,,,,,,21,"20, plus one mad bomber killed by irony",0
200,"From Dusk Till Dawn	","<br />(#200!)		",,,,,,,94,23 humans and 71 vampires,0
201,Killer Drag Queens on Dope,"		",,,,,,,12,12,0
202,Dirty Work,"		",,,,,,,7,7,0
203,"Antibodies	","<br />(always read the fine print)		",,,,,,,7,"4, 2 dogs and a porcupine",0
204,Prom Night,"		",<br />&#9733;Worst Fashion Award - 2007&#9733;,<br />&#9733;Worst Choreography Award - 2007&#9733;,,,,,7,7,0
205,"South Park: Bigger, Longer & Uncut","		",,,,,,,2,"2. That's right, I said TWO. The 312 people, 2 bears, robot king and demon that died in the war DON'T COUNT!	",0
206,A Nightmare on Elm Street 4: The Dream Master,"		",,,,,,,7,6 and a bug,0
207,The Descent,"		",,,,,,,17,"7, plus 10 mutant-things	",0
208,Flushed Away,"		",,,,,,,27,3 flies and 2 bowls of maggots,0
209,The Fifth Element,"		",,,,,,,320,"22 humans, plus an entire space battleship, 26 mangolores, 3 mondoshawans, 17 parasites, one cockroach and one diva	",0
210,Perfume,"<br />""That's an awful lot of afterglow.""		",,,,,,,28,"27, 1 cat, and the biggest orgy EVER.",0
211,Margarita Happy Hour,"		",,,,,,,1,1,0
212,The Shadow Walkers,"<br />(Did Danny Draven edit this? Cause he was already fired.)		",,,,,,,35,"15 before the opening titles and then 12 more, plus 8 genetically-altered mutants",0
213,"Running with Scissors	","		",,,,,,,1,1 cat,0
214,Ice Age 2,"		",,,,,,,4,"A turtle, 2 dinosaurs, and a dodo (bird)",0
215,Scary Movie,"		",,,,,,,17,17,0
1647,The Prophecy II,,,,,,,,9,5 people and 4 angels,0
216,Independence Day,"		",,,,,,,12702478,"1,702,461 humans and 11,000,017 aliens",0
217,The Simpsons Movie,"		",,,,,,,106,"2, plus all 3 members of Green Day, 77 fish and 24 swallows",0
218,"Freddy vs. Jason	","		",,,,,,,85,20 people and 65 maggots,0
219,Four Brothers,"		",,,,,,,14,14,0
220,Hard Boiled,"		",,,,,,,235,235,0
221,The Butterfly Effect,"<br />(Amended after official review. Gregg Lopez is fired.)		",,,,,,,1,1 unborn child. Unless you watch the theatrical version and then it's ZERO.,0
222,30 Days of Night,"		",,,,,,,165,"146 people, 12 vampires and 7 dogs",0
223,"The Last Samurai	","		",,,,,,,1592,"1,562 people and 30 horses",0
224,Dead in the Water,"		",,,,,,,3,3,0
225,Long Kiss Goodnight,"		",,,,,,,52,"50, a deer, a cricket, and Samuel L. Jackson graced us with two motherfuckers.",0
226,Bee Movie,"		",,,,,,,1,1 bug,0
227,"A Nightmare on Elm Street 5: The Dream Child	","<br />(The worst Freddy movie EVER. Apparently the 5's are cursed. See Hellraiser 5.)		",,,,,,,4,3 and a doll,0
228,Saw IV,"		",,,,,,,9,9,0
229,Mr. Deeds,"		",,,,,,,1,1,0
230,Mirror of Death,"		",,,,,,,3,3,0
231,Blade,"		",,,,,,,69,"22 humans, 46 vampires and a plant",0
232,The Blob (1958),"		",<br />&#9733;Best Original Theme Song - 2007&#9733;,,,,,,6,6,0
233,Strange Days,"		",,,,,,,13,12 and a dog,0
234,Transformers,"		",,,,,,,2024,"2,019 humans, 1 Autobot, 3 Decepticons and 1 baby Decepticon",0
235,The Return,"		",,,,,,,2,2,0
236,"Kingdom of Heaven	","		",,,,,,,1594,"1,578 and 16 horses	",0
237,Critters,"		",,,,,,,14,"1 bottle of whiskey, 1 cow, 1 chicken, 1 goldfish, 2 people, and 8 critters",0
238,The Big Lebowski,"		",,,,,,,1,1,0
239,Anchorman: The Legend of Ron Burgundy,"		",,,,,,,2,1 and a squirrel,0
240,"Last Quarter	","		",,,,,,,2,2,0
241,The Anarchist Cookbook,"		",,,,,,,17,17,0
242,Dolores Claiborne,"		",,,,,,,2,2,0
243,See No Evil (1971),,<br />&#9733;Best Original Soundtrack 2007&#9733;,,,,,,4,4,0
244,"No Country for Old Men	","		",,,,,,,18,"17 and a dog	",0
245,Awake,"		",,,,,,,2,2,0
246,Cast Away,"		",,,,,,,9,"4 people, 2 crabs, 2 fish, and 1 volleyball (WILSON!!)	",0
247,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"		",,,,,,,2,1 person and 1 bear,0
1514,Inhale,,,,,,,,8,8,0
248,Hannibal Rising,"		",,,,,,,32,"30 people, a fish and a bird",0
249,Date Movie,"		",,,,,,,11,10 people and a rat,0
250,"Team America: World Police	","		",,,,,,,2066,"2,066 plus 1 motherfucker from Samuel L. Jackson's puppet.",0
251,Swimming Pool,"		",,,,,,,1,1,0
252,28 Days,"		",,,,,,,1,1,0
253,Cube 2,"		",,,,,,,15,15,0
254,The Hollywoohe Sd Strangler Meets the Skid Row Slasher,"		",<br />&#9733;Worst Fake Blood - 2007&#9733;,,,,,,12,12,0
255,The Cave,"		",,,,,,,9,"6 and 3 cave creatures	",0
256,Phantoms,"		",,,,,,,11,10 and a dog,0
257,Amityville Horror (1979),"		",,,,,,,6,6,0
258,Sweeney Todd: The Demon Barber of Fleet Street,"		",,,,,,,15,12 and 3 bugs,0
259,Halloween (2007),"		",,,,,,,22,"20, a rat and a coyote",0
260,A Nightmare on Elm Street 6: Freddy's Dead: The Final Nightmare,"		",,,,,,,6,"4, a hamster, and Freddy	",0
261,Nobody Knows,"		",,,,,,,1,1,0
262,"Dead and Deader	","		",,,,,,,62,"52, 9 scorpions, and Dean Cain's career",0
263,The Opposite of Sex,"		",,,,,,,1,1,0
264,High Tension,"		",,,,,,,6,"5 and a dog	",0
265,The Hudsucker Proxy,"		",,,,,,,2,2,0
266,The Wild,,,,,,,,1,"1 wildebeest	",0
267,There Will Be Blood,"<br />(And there was! No lie!)		",,,,,,,12,5 and 7 quail,0
268,Three Kings,"		",,,,,,,22,21 and a cow,0
269,Wes Craven's New Nightmare,"		",,,,,,,5,4 and Freddy again,0
270,Madhouse,"		",,,,,,,7,7,0
271,Renegade,"		",,,,,,,30,28 and 2 horses,0
272,No Reservations,"		",,,,,,,1,1,0
273,Bloody Mallory,"		",,,,,,,30,"8, 17 ghouls, a demon, a succubus, a black cat, a rat and a vampire",0
274,"Friday the 13th	","		",<br />&#9733;Best Original Soundtrack 2008&#9733;,,,,,,11,10 and a snake,0
275,Magnolia,"		",,,,,,,30000000,"8, a dog, and a whole LOT of frogs",0
276,Fright Night (1985),"		",,,,,,,6,"3 humans, 2 vampires, and a guy who was neither human nor vampire",0
277,Friday the 13th Part 2,"		",,,,,,,9,9,0
278,Sleepwalkers,"<br />(Stephen King, you should be ashamed of yourself)		",<br />&#9733;Worst Acting - 2008&#9733;,,,,,,11,"7, 2 sleepwalkers and 2 cats",0
279,The Green Mile,"		",,,,,,,7,7,0
280,Cinderella,"		",,,,,,,1,1,0
281,Friday the 13th Part 3,"		",,,,,,,13,12 and an unborn baby,0
282,The Tommyknockers,"		",<br /&#9733;Worst Waste of Food - 2008&#9733;,,,,,,12,4 and 8 aliens,0
283,28 Weeks Later,"		",,,,,,,10211,"10,211	",0
284,Q: The Winged Serpent,"<br />(Jon predicts: A romance that we cannot handle, stupid decisions made by people in danger, and a monster that ultimately dies at the end)		",,,,,,,17,"15 humans and 2 Qs. Jon further broke this down for us as follows: 4 decapitations, 1 skinning, 10 other, mostly dropped from high up. Also, all his predictions came true.	",0
285,"Reefer Madness	","		",,,,,,,3,3,0
286,Friday the 13th Part 4: The Final Chapter,"		","<br />&#9733;Best Dance Moves - 2008, awarded to Crispin Glover&#9733;",,,,,,14,14,0
287,"Dirty Dancing	","		",,,,,,,1,1 fetus,0
288,Bambi,"		",,,,,,,3,"1 deer, 2 pheasants",0
289,Shaded Places,"		",,,,,,,2,1 and a dog,0
290,The Usual Suspects,"		",,,,,,,42,41 and a dog,0
291,The Sisterhood of the Traveling Pants,,,,,,,,1,1,0
292,Battle Royale,"		",,,,,,,43,43,0
293,Cutting Class,"		",,,,,,,8,7 and a fly,0
294,Friday the 13th Part 5: A New Beginning,<br />(Broke the curse of the 5's. Thank you Jason. We love you.),,,,,,,19,19,0
295,"Blood Diamond	","		",<br />&#9733;Best Editing - 2008&#9733;,,,,,,93,"92 and a baboon	",0
296,Romeo + Juliet,,,,,,,,5,5,0
297,A.I. Artificial Intelligence,"		",,,,,,,7,"6 Robots and 1 human recreated by robots	",0
298,Jaws,"		",,,,,,,8,"5, 2 sharks and a dog	",0
299,The Ice Pirates,"		",,,,,,,20,"10 humans, 1 frog lady and 9 robots",0
300,300,"<br />(#300)		",,,,,,,3977,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude	",0
301,Forrest Gump,,,,,,,,17,"13 plus Elvis, JFK, Bobby Kennedy, and John Lennon	",0
302,Bad Biology,"		",,,,,,,5,4 plus one large mutant penis,0
303,Fried Green Tomatoes,,,,,,,,6,5 plus one arm,0
304,Who is KK Downey?,"<br />(false advertising abounds)		",,,,,,,1,1,0
305,Thank You for Smoking,"		",,,,,,,1,1,0
306,Soo,"		",,,,,,,26,26,0
307,Epitaph,"		",,,,,,,10,10,0
308,Dead Fury,"		",,,,,,,14,"13 and a squirrel	",0
309,Pistoleros,"		",,,,,,,5,4 and a dog,0
310,Jack Brooks: Monster Slayer,"		",,,,,,,17,15 and 2 dogs,0
311,"Trailer Park of Terror	","		",,,,,,,10,10,0
312,The Last House in the Woods,,,,,,,,10,10,0
313,"Timecrimes	","<br />(Los Cronocr&#237;menes)		",,,,,,,1,1,0
314,Death Bed: The Bed That Eats,"<br />(George Barry is the man!)		",,,,,,,19,"16, a fly, 2 hands and 1 bed	",0
315,Lake Placid,"		",,,,,,,5,"2, a bear, a cow and a giant crocodile",0
316,"American Dreamz	","		",,,,,,,2,2,0
317,How High,"		",,,,,,,14,1 and 13 pigeons,0
318,Muppets From Space,,,,,,,,1,1 cat,0
319,Rolling Kansas,"		",,,,,,,4,3 ducks that looked like geese and one accidental rabbit smothering,0
320,Kung Pow: Enter the Fist,"		",,,,,,,48,"43 people, a dog, 2 moths, a big toe, a stomach plug and one French alien UFO",0
321,Man of the House,"		",<br />&#9733;Best Opening Title Sequence - 2008&#9733;,,,,,,4,4,0
322,Friday the 13th Part 6: Jason Lives,"		",,,,,,,18,17 (including a 3-for-one decapitation) and 1 bug,0
323,Fido,"		",,,,,,,13,13,0
324,Enchanted,"		",,,,,,,3,"1 cockroach, 1 bag of bird seed (which was stabbed with a sword), and 1 evil witch queen who was killed while in dragon form.",0
325,Bridge to Terabithia,"		",,,,,,,1,1,0
326,Shrek the Third,"		",,,,,,,4,1 Frog King Dad-in-Law and 3 bugs,0
327,"The Spongebob Squarepants Movie	 ","		",,,,,,,2,2 fish,0
328,The Rocky Horror Picture Show,"		",,,,,,,4,4,0
329,The Happening,"		",,,,,,,47,47,0
330,Reefer Madness: The Movie Musical,"		",,,,,,,6,"5 and a fly	",0
331,Duets,"		",,,,,,,2,"2	",0
332,Frankenhooker,"		",,,,,,,13,12 and a guinea pig,0
333,Blood Gnome,"		",<br />&#9733;Worst Lighting - 2008&#9733;,,,,,,33,26 plus A-MAN-da and 6 blood gnomes,0
334,"Friday the 13th Part 7: The New Blood	","		",,,,,,,16,16,0
335,Friday the 13th Part 8: Jason Takes Manhattan,"		",,,,,,,22,22,0
336,Get Smart,"		",,,,,,,14,13 and a robot fly,0
337,The Golden Compass,"		",,,,,,,55,54 and an ice bear,0
338,Hancock,"		",,,,,,,1,1,0
339,"Batman Begins	","		",,,,,,,6,6,0
340,"Ferngully: The Last Rainforest	","		",,,,,,,2,"1 fairy, 1 snail",0
341,Friday the 13th Part 9: Jason Goes to Hell,"<br />(except that it's not)		",,,,,,,22,22,0
342,The Boondock Saints,"		",,,,,,,36,35 and a cat,0
343,Edward Scissorhands,"		",,,,,,,2,2,0
344,Big Trouble in Little China,"		",,,,,,,36,"35 and a thing they called a guardian but which I think looks like a beholder. Not a behemoth, which is what I said the first time. Wrong b word.",0
